사용년월	전체일수	작업가능일수	중복일수	공휴일	최고기온	최저기온	강우	풍속	강설	안개	미세먼지	NIS	NOS	FIS	FOS	CIS	COS	NIGT	NOGT	FIGT	FOGT	CIGT	COGT
2016년04월	30	16	2	4	0	0	6	1	0	1	4	656	648	1714	1676	1800	1798	3718449	3398673	49890752	49254182	1723691	1763899
2016년05월	31	12	4	7	0	0	4	4	0	4	4	716	719	1701	1732	1864	1869	3674453	3390067	49874037	49624788	1729175	1777982
2016년06월	30	15	2	5	0	0	3	1	0	8	0	715	731	1672	1685	1860	1859	3894272	3717356	49164247	49067988	1767815	1791777
2016년07월	31	16	2	5	0	0	5	3	0	4	0	710	703	1737	1752	1900	1859	4025173	3810264	52762951	51815153	1822449	1848262
2016년08월	31	15	2	5	9	0	3	1	0	0	0	691	704	1646	1647	1737	1768	4130741	3905507	51136004	51477849	1916807	1967929
2016년09월	30	17	2	7	0	0	6	0	0	2	0	634	643	1605	1618	1739	1744	3562902	3307182	51306395	50008738	1681851	1705196
2016년10월	31	21	1	6	0	0	3	1	0	1	0	706	694	1607	1601	1945	1961	4157150	3834197	48747953	48528570	1945643	1963181
2016년11월	30	24	0	4	0	0	1	0	0	0	1	696	688	1649	1644	1885	1873	4309803	3968965	50205563	50165151	1989514	2049089
2016년12월	31	17	1	4	0	0	4	2	0	0	5	737	695	1626	1589	1886	1860	4374231	3998102	48850769	47686921	1924923	1930758
2017년01월	31	18	2	8	0	0	0	3	0	0	4	619	662	1620	1625	1878	1861	3814981	3693264	49548730	48756726	1904462	1942899
2017년02월	28	21	1	4	0	0	1	3	0	0	0	624	624	1465	1477	1746	1754	3871991	3584894	45023880	44849725	1724251	1771464
2017년03월	31	24	0	5	0	0	1	0	0	0	1	690	687	1731	1766	2021	2010	4398983	4078823	52934250	53360537	1835887	1878012
2017년04월	30	16	2	5	0	0	4	4	0	2	1	741	724	1699	1663	1825	1842	4386977	4147269	51145645	50596135	1718755	1744204
2017년05월	31	20	1	6	0	0	2	0	0	0	4	783	805	1746	1750	1853	1896	4982733	4875326	50851857	50860595	1680210	1760919
2017년06월	30	23	1	5	0	0	2	0	0	1	0	713	715	1635	1657	1791	1762	4394171	4078991	50393556	49482478	1792491	1801621
2017년07월	31	18	1	5	0	0	2	4	0	3	0	742	748	1731	1735	1910	1877	4511272	4193205	51355903	51015178	1713297	1721100
2017년08월	31	18	2	5	6	0	3	0	0	1	0	734	736	1676	1699	1824	1837	4415238	4156032	49185348	49397922	1740796	1781509
2017년09월	30	22	1	4	0	0	4	0	0	1	0	683	683	1614	1611	1634	1625	4247694	3978845	49925829	49555027	1645715	1669699
2017년10월	31	21	1	9	0	0	2	0	0	0	0	606	607	1529	1524	1599	1625	3838379	3555960	47898107	47384729	1470855	1505426
2017년11월	30	26	0	4	0	0	0	0	0	0	0	685	669	1599	1601	1919	1921	4123200	3800334	48611196	48892675	1827995	1890095
2017년12월	31	22	1	6	0	0	1	2	0	0	1	716	669	1627	1599	1834	1799	4392779	3908430	50046551	49657778	1783067	1796208
2018년01월	31	23	1	5	0	0	1	1	0	0	2	617	656	1596	1616	1693	1703	4002541	3917096	49644358	48738957	1698283	1735251
2018년02월	28	16	2	7	0	0	1	2	0	0	4	638	637	1434	1435	1462	1458	3916615	3593426	44600251	44484323	1494416	1547069
2018년03월	31	20	1	5	0	0	5	1	0	1	0	655	654	1536	1552	1615	1633	4076837	3940717	49729285	48878560	1589765	1597581
2018년04월	30	13	3	5	0	0	4	5	0	0	6	766	751	1648	1620	1765	1771	4356733	4019521	50820339	50182808	1869689	1872314
2018년05월	31	9	4	6	0	0	5	8	0	7	0	742	767	1692	1715	1739	1753	4328362	4226105	53004150	53408231	1699598	1722783
2018년06월	30	16	2	5	0	0	4	2	0	5	0	651	651	1643	1655	1598	1597	4013406	3713409	52651905	51581087	1654969	1696689
2018년07월	31	16	2	5	9	0	2	0	0	1	0	673	685	1620	1634	1769	1771	3894502	3669686	51025543	50721302	1681656	1693861
2018년08월	31	11	3	5	9	0	5	3	0	1	0	665	669	1627	1640	1704	1692	3758024	3465752	51389450	50676121	1510927	1505014
2018년09월	30	15	2	8	0	0	8	0	0	1	0	643	625	1570	1566	1500	1496	3798406	3437939	50651273	50860089	1517932	1484981
